acc:0.5058904610012266 iou:10.817708333333332 evaltime:2

44444440_____________________111 4.0.............................

_____111111____44444________0000 ........1..........4............

____5555555555550001111111111111 ................................

__________________11111111_44400 ......................1.........

2______________33333334444400000 ....................3.....40....

4000_33334400__________________1 .................0..............

__1111111_______4444444444______ ........1.............4.........

_____________111111__4440000____ .............1.........40.......

______________________0000000000 ..........................2.....

44440000________________________ 40..............................

4000___________________________1 ...0............................

______________0000_____________0 ..........................0.....

11111___444000__________________ ...1........4...................

5555555555555555551111_444000000 .....5.......................40.

4400______________________333333 ...............0................

0_33333334400000_______________1 ..............4.................

_______________33333344433440222 ................................

_______________________111111111 ...........................1....

_____005555555555555555555555555 .............5..................

0003333440000___________33333333 .........3..1..........4........

________11111___444000__________ ...........1.......4............

___________11111__444000000_____ ...........1..........40........

40_____________________________1 ..........................0.....

400_____________________________ ................................

444444__500000000000222222224400 ..........0.....................

40000_________________________11 .40.............................

________________3333333333334440 ................................

40__11111____44400000___________ ....1..........40...............

0000____33333400000_____________ ..............0.................

1111____4400000_________________ ...........40...................

____111111___44400000_________11 .......1.......4..............1.

000000_____________________33333 ................................

4444000_________________________ ....40..........................

333333_4444444__________________ ...3........4...................

____________________111111111144 .......................1........

_____________________11111111144 ........................1.......

444000______333344444______11111 ..............3....4............

333334400000____________________ ............4.................0.

00___________________55555555555 ................................

____________22222244000022222222 .............2.....40...........

00000___________________________ 4...............................

__440000________________________ .....4..........................

0000_____22222222244000000000003 .............2.......40.........

1____44400______________________ 1........4......................

_____________2222222222244440000 ..............2.............4.0.

________111111___444000_________ ..........1............4.....0..

_0________22222222244400000000__ .............2........40........

____________1111111_444440_____1 .............1..........40......

2200000000______________________ .....40.........................

3344444________00000___________2 ................3.......40......

000___________________1111111111 ...............................2

4444444___________________000000 ...................0............

02222333344000000_______________ ........3....40.................

00000000________________________ .........3....40................

0003333344000______111111111_444 ........40..........1.........40

000________________________33333 ...................3.....40....2

0000________3334000_______222222 ................................

4______________________111111111 4...............................

11111___44444______________22224 1..........4....................

4444_______________1111111111_44 .......................1........

____2222233333334444400000___111 ..4.............................

000_________________________3333 .....2...4..0...................

_________________111111111__4444 ....................1...........

0000____________________________ ................................

00000_______0000________________ ...4............................

__4440000_________________333333 .....40.........................

_____111111___4444____________11 .......1........4...............

0000______3333344444_______11111 .............3....4.............

______111111____444444__________ ........1............4..........

11111___440000__________________ 1........40.....................

0______44______________111111111 ..........................1.....

1111_____444400000000______11111 ......................1.........

00000000________________________ ................................

_________________11111111__44400 ....................1...........

4444____________________________ ..3......4......................

___11111____44440000____________ ....1..........4................

____________________333333333333 .0..............................

440000__________________________ 0...............................

0000000000____2222224400000___22 ....................3......40...

11___400000__________33333333444 .......40..............3.....4..

00____________222222222222224444 ........2.....40................

440_______________00000_________ ..40............................

___________________11111111_4440 .....................1........40

___________111111__4440000______ ............1........40.........

4__________________________22222 ................................

400_333334444______________11111 ......3....4....................

000_____________3333440000000000 ................2....40.........

00_________33333344000000_____33 ..............5..........406....

00______________________________ .3....40........................

22222244000000__________33333344 2.......40......................

000___________________________11 .0..............................

________222222222444400000000555 .........2.............4.0......

______00________________11111111 ............................1...

4444_____________000000000000000 ................................

____________________111111111111 ..........................1.....

___________111111____44400000000 ..............1.........40......

___________________11111111_4440 .....................1........40

000___________000_______________ ................................

______11111___440000____________ ........1.2.......2...40........

4400_________________33333333400 .............................3..

0023333440000_________________11 ....2...40......................

_______________00000__________11 0...............................

4_333344444________________11111 ...3....4.......................

_________________________1111111 ..............................1.

___11111____44440000____________ ....1..........4................

000____________________________1 ................................

00000__3333330000000__________33 ..................3..1..........

________111111___444440000______ ...........1..........4.........

333440000000____________________ ...0............................

___3333334440000000_____________ ......................0.........

_____111111___4440000__________1 .......1.........40.............

____________22222222244000000000 ..............2.....40..........

40000________________33334444441 ............0...................

000__________________________111 ..4.0...........................

4400________33334444444_______11 ...................3......4.....

111111_____4444400000___________ ...1.........40.................

__0_________________222222222222 ...........................0....

400________________________33333 ...................0............

00055550000000_____2222222222222 .....0..........................

____4000000000000_______________ 3......40.......................

00______________________00000000 ..................0.............

0000____________________________ ................................

11___400000__________33333333444 .......40..............3.....4..

33_____4400000__________________ ..........40....................

__________3333334400000______333 .............5..........406.....

____________________000000000000 .................0..............

4000_________________22222222222 ........................2.....40

0400____________________________ ................................

4000_____________222222222244000 ........4.......................

_2222333333344444440_____1111111 .............................1..

1___4444000_____________________ 1.2.......2...40................

400__________3333344000000000001 ..............3...4.............

______________111111__4440000011 .................1.......4......

40_____________________________1 ..........3....4................

11____400000000_________________ ........40......................

0_________111111__44444_________ ............1.......4...........

0000_________________________111 ........................3.....40

_2222222222222444000033333333333 .40.............................

_______111111__444000__________1 ........1..........40...........

__0000__________________11111111 .3...........40..........1......

__0__________2222222224440000000 .................2.....40.......

