acc:0.9274782352619408 iou:14.197916666666666 evaltime:2

____4400___3333____444444_______ ......40.....3.......4..........

___________________________22222 .............................2..

00____________222_44000_________ 0..............2..40............

0_______________________________ ................................

________3333344022222_44000_____ ...........3..40.2.....40.......

___333333455555555555422222____4 .......3....40.5.........42.....

222222_________________44440000_ ...2....................4.0.....

_________________________1111___ ..........................1.....

______________________00000_____ ..........................0.....

__1111_______444000_____________ ....1..........40...............

____________________________1111 ...............................1

4400_______________________11111 40..............................

_______________2222_4400________ .................2...40.........

0__________3333____444000_______ ............3........40.........

444_______________________333333 ............................3...

_____________________________333 ................................

____________________________0000 ...............................0

_________00000__________________ ...........0....................

__________3333______4444________ ............3........4..........

4______________________3333__444 ........................3.....4.

_____________________________333 ................................

4___333334444___________________ ......3....4....................

000_____________________________ 0...............................

_____________33332222____444000_ ...............3..2........40...

_________________________11111__ ..........................1.....

2___4444444________________64666 ........4.......................

__________________3333____444444 ....................3......4....

________________________________ ................................

444444__________________________ ..4.............................

__________________0000__________ ....................0...........

______________________11111_____ ........................1.......

________________________33334444 .........................3.....4

_1111_______4444___00000________ ...1..........4....0............

66666666666666666666666666666666 ....................6...........

6__________000000_______________ ..............0.................

______________11111_______444444 ................1............4..

4444_________________________000 4...............................

________________________11113333 ...........................13...

___________44444444_____________ ...............4................

_________________33333334400____ ..................3...3..40.....

4400_________________________222 ................................

333__4400______________333344000 .3....40.................3..40..

1____________44444______________ .............4..................

_________________00000__________ ..................0.............

_______________1111_____4400____ .................1.......40.....

4440_______22222__444000________ ..40........2.......40..........

4000____________________________ .40.............................

400_____________________________ ................................

000000____________________00000_ ..0.......................0.....

4__________________11111____4444 ....................1..........4

000_____________________________ ................................

000______________________3333__4 ..........................3.....

1111__________4444______________ .1.............4................

00____________________________11 ................................

__4444__________________________ ....4...........................

______________________11111_____ ........................1.......

__________1111_____4444_________ ...........1........4...........

____4____00000000_______________ .............0..................

40__3333___44000________________ 0....3......40..................

3444444_________________________ .....4..........................

___________333_4400_____________ ...........3...40...............

_________1111______44000________ ..........1........40...........

________0000000_________________ ..........0.....................

44411111____________4444________ .4..1................4..........

_____________________________111 ................................

_____4444_______________________ ......4.........................

________0000033333______44444441 ...........0...3...........4....

______________11111__________444 ...............1..............40

1_______444_________00000_______ .........4............0.........

44_______1111______44000________ ...........1.........40.........

____4444________________________ ......4.........................

00______________________________ 0...............................

________________________3333___4 ..........................3.....

000000000000____________________ ......0.........................

____000000______________________ .....0..........................

00________________11111___333344 ..................1........3..40

00000___________________________ 0...............................

____________________11111_______ ......................1.........

66666666666666666666666666666666 .............6..................

__________________________1111__ ................................

11_______444_________________000 1.........4.....................

__________________1111____444000 ...................1........40..

__1111______44444_______________ ....1........4..................

____1111_________4444___________ ......1............4............

_______333___44000______________ ........3.....40................

4_______________________________ ................................

________________________111____4 .........................1......

__________________________333333 ............................3...

33334444__22222_440000__________ .3....4.....2....40.............

______1111_______4444___________ ........1..........4............

33___44444______________________ 3......4........................

______________________3333__4400 .......................3....40..

3333__4444_____________________0 .3......4.......................

____________________________2222 ..............................2.

____333__4400___________________ .....3....40....................

333__________444000_____________ ..3............40...............

___4444______________11111______ .......................1........

______________________________11 ................................

_____________2222443334400______ ...............2..403...40......

__________________________222222 ............................2...

__000000________________________ ....0...........................

0_____________1111_______44000__ ................1........40.....

______________1111____4400000___ ................1......4..0.....

______________33333444000_______ ................3....40.........

__________________33334444______ ...................3...4........

40______________33333___4444____ .................3.......4......

000_____________________________ 0...............................

________________________________ ................................

____________________1111______44 ......................1........4

____________222____44000________ .............2.......40.........

333___4444______________________ .3.....4........................

40000___________________________ 40..............................

4___________________000000______ ......................0.........

_____44400______________________ .......40.......................

4444___22222_440000_____________ ...4.....2....40................

0________________________3333333 ............................3...

43333344444_____________________ ...3...4........................

______________333__4400_________ ...............3....40..........

______________________________33 ................................

____________1111333333_44444____ .............1.....3....4.......

_11111____________440000________ ...1...............40...........

_________000000_________________ ............0...................

_________________________1111___ ...........................1....

________________________33333_44 ..........................3.....

_________________3333333_444444_ ....................3......4....

222222____44000_________________ ...2......40....................

400_______________3333444000____ ...................3...4..0.....

____4400______________________33 .....40.........................

40______________________________ ................................

__________________22222____44000 ...................2........40..

_________________11111______4440 ...................1..........40

4_______________________________ ................................

3_____44444_____________________ ........4.......................

44400___________________________ ..40............................

44400000________________________ 4...............................

_________00000__________________ ...........0....................

1______________________11111____ ..........................1.....

______1111________44000_________ .........1.........40...........

333____444_____00000____________ .3......4.......0...............

00______________________________ .0..............................

1111_____44400000_______________ ..1.......4...0.................

400_____________________________ 40..............................

40___________1111______44000____ ...............1.........40.....

__________3333__444_____________ ...........3....4...............

________________________33333344 .........................3......

________________1111____44000___ ..................1.......40....

_________________________333__44 ..........................3....4

______________1111________444444 ................1............4..

___________________22222_____444 ....................2..........4

400_______________________333344 40.........................3...4

__2222__44000___________________ ...2.....40.....................

4________1111___4444_________111 ...........1......4.............

____________________________2222 ...............................2

444_____________________________ .4..............................

3___44400___________3333___44000 ......40..............3.....40..

22222__44400_________3333__44444 ...2.....40............3.....4..

4444444_____________00000_______ .....4................0.........

___________________3333444011111 ....................3...40...1..

33444444________________________ 3.....4.........................

3__4400_________________________ ....4.0.........................

_______________33333_______44444 .................3............4.

4400_________________________111 ..40............................

01111__________444000___________ ...1............40..............

____________1111_______44444____ .............1............4.....

_______11111____44111111___44441 .........1........41.........4..

___________________2222_44000___ ......................2...40....

44444444________________________ .....4..........................

_________________________1111___ ...........................1....

_____333___44400________________ ......3.....40..................

___________________0000_________ ......................0.........

______000000____________________ ........0.......................

_______________________33333_444 ........................3.....4.

_______________________________1 ................................

333___4400______________________ .3.....40.......................

400_________________________1111 40..............................

2______44______000000___________ .................0..............

2224400_________________________ .2..40..........................

333___4400______________________ .3.....40.......................

400_________________________1111 40..............................

____________________1111_____444 .....................1..........

1______44444____________________ .........4......................

___________________000000000____ .......................0........

________________1113333_____4444 ..................1..3........4.

44440000________________________ ..40............................

_________________________3333__4 ...........................3....

00________________1111___4400___ ....................1......40...

00____________________________11 ................................

_______________111133____4440000 .................1.........40...

_____________________________111 ...............................1

______________1111________444444 ...............1...........4....

________________________1111____ .........................1......

____________________0000________ .....................0..........

33_4400__________________1111___ ....40.....................1....

1_______44000___________________ ..........40....................

______________________00000_____ .......................0........

__11111_______4444______________ ....1..........4................

_____________________111____4400 ......................1......40.

66666666666666666666666666666666 ...........6....................

_____________000000_____________ ...............0................

________________0000000000000___ ..................0...0.........

44400___________3333___44000____ ..40.............3......40......

0__________1111______444444_____ ............1............4......

00__11111_______44400___________ ......1...........40............

___________1111______44000______ .............1........40........

__________________________333333 ...........................3....

3_________4444__________________ ...........4....................

4400____________________________ ................................

0000000_________________________ ....0...........................

________________________________ ................................

2_4___3333___4444_______________ .........3....4.................

____________1111________44000___ ...............1.........40.....

___________________0000_________ .....................0..........

4440000_________________________ ..40............................

_____________________0000_______ .......................0........

_____111_____44000_________22222 ......1.......40..............2.

111________4444_________________ .1..........4...................

_____________________11111______ ......................1.........

_______1111_____4400___3333__440 ........1........40.....3....40.

333____4400_____________________ .........40.....................

_________________111______444444 ..................1........4....

_______22222_44000__________3333 .........2....40..............3.

222___444000____________________ ........40......................

_________________________0000000 ..........................0.....

_______________________3333_4444 .........................3.....4
