2.8690167011753207 0.30274240858912754 0.8814894153225806

____11___________44444_____44___ .....1...........4..............

11____________44444_____________ ..1...........4.................

1___________4444______4_________ ..........4.....................

_________444____________________ .......4......................1.

______44________________________ ....4......................1....

_________4_______________1111___ .4......................1.......

______4_______________111_______ .....................1..........

___________________111________44 .................1..............

________________111________44444 ..............1...............4.

_____________111__________444444 ...........1...............4....

_________1111________4444_______ ........1...............4.......

______1111________4444__________ .....1...............4..........

____11_________4444_____________ .1...............4..............

_1___________4444________44_____ ..............4.................

___________4444_______4_________ ...........4....................

_________444_______4____________ ........4.......................

___40____________4______________ .....4..........................

___40_2_____4400________________ .4............................0.

___________444__________________ ...........................0....

________________________________ ........................0.......

____________________________00__ .....................0..........

4__4________________________0666 ..................0.............

________________________________ ..............0.................

____________________0_00_____111 ...........0....................

________________________________ ........0.......................

______________________________00 .....0..........................

___________________________00___ ..0.............................

________________________________ .............................1..

__________________________111___ ..........................1.....

_______________________11_______ .......................1........

____________________111_______44 ....................1...........

_________________11________44444 ................1............4..

______________11________4444____ .............1............4.....

___________11________444________ ..........1............4........

________11________4444__________ .......1............4...........

_____11________4444_____________ ....1............4..............

_11_________4444____________00__ 1............4..................

_________4444_____________0_____ ..........4.....................

_____444________________________ .......4........................

___44___________________________ ....4...........................

___________________________0000_ .4..............................

00______________________________ .0..............................

_____________________________111 ................................

_____________________________333 ................................

________________________________ ................................

______________________________33 ................................

________________________________ ................................

________________________________ ..............................3.

____333___0_____________________ ...........................3....

_33__440________________________ ........................3.....40

__40____________________________ .....................3.....40...

________________________________ ..................3.....40......

________________________________ ..............3.....40..........

______0_________________________ ...........3.....40.............

_440____________________________ ........3.....40................

_440____________________________ .....3.....40...................

0440____________________________ ..3.....40......................

000_____________________________ ....40..........................

_440____________________________ .40.............................

_____11_______40___3________2222 .............................1..

__11_______40___3_______________ ..........................1.....

1______440______________________ .......................1........

_____40_________________________ ....................1.........40

________________________________ .................1.........40...

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

______________________11______11 .....................1..........

________________1__11________111 ..................1...........40

______________111_______________ ...............1...........40...

___________111__________________ ............1...........40......

_________1_______________4000___ .........1...........40.........

____1111____________4444________ .....1...........40.............

_11_______44_______444__________ ..1...........40................

_______________444___________11_ ...........40...................

____________4___________________ ........40......................

__________4_____________________ .....40.........................

________________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________0_______ ................................

_______________________3____0___ ................................

________________________________ ................................

__________________________444___ ................................

40___________22_________________ 0...............................

____0_______________________3333 ................................

0_2_____________________________ ................................

4_440________________________0__ ................................

____________________________1111 ................................

_____________________________00_ ................................

________________________________ ................................

______________________0_________ ................................

________________________________ ................................

__3_3____4______________________ ................................

3_______________________________ ................................

________________________________ ................................

________________________________ ................................

0_____________________________11 ..............................3.

0__________________________33__0 ...........................3....

__440___________________________ ........................3....40.

4__4____________________________ .....................3....40....

________________________________ ..................3....40.......

______________3_________________ ..............3....40...........

___________3____________________ ...........3....40..............

________3______________________1 ........3....40.................

____33__________________________ .....3....40....................

4_______________________________ ..3....40.......................

_____________________________00_ ...40...........................

40______________________________ 40.............................2

___0_________________________333 ............................2...

0_______________________________ .........................2......

_____2____________________111333 ......................2.........

________33____444_______________ .......4........................

_____33_____44__________________ ....4...........................

_33_____________________________ 4...............................

_________________________111____ ............................1...

_____________________111________ ........................1.......

___________________11__________4 .....................1..........

________________11__________4444 ..................1............4

____________11___________4444___ ...............1............40..

_________11__________44444______ ............1............40.....

_____1111_________4444__________ ........1............40.........

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

