0.15969492831537802 0.9606441915216087 0.9253402217741935

____________11_____________44411 .............1..............4..1

_________11_____________444111__ ..........1..............4..1...

______11_____________44111______ .......1..............4..1......

___11____________444111_________ ...1..............4..1..........

1_____________444111____________ 1..............4..1.............

___________444111_____________44 ............4..1................

________444_11_____________44444 .........4..1................4..

______44111_____________4444____ ......4..1................4.....

__40_11_____________44444_______ ..4..1................4.........

__11_____________44444__________ ..1................4............

_______________4444_____________ ................4...............

____________4444________________ .............4..................

_________444____________________ ..........4.....................

______44________________________ ......4.........................

4__4____________________________ ...4............................

4__4________________________000_ 4...............................

____________________________000_ .............................0..

_________________________0000___ ..........................0.....

______________________000_______ .......................0........

___________________00___________ ...................0............

________________00______________ ................0...............

_____________00_________________ .............0..................

__________00____________________ ..........0.....................

______00________________________ .......0........................

___0____________________________ ...0............................

0__0__________________________3_ 0...............................

____________________________3333 ..............................3.

__________________________33333_ ...........................3....

_______________________333___444 ........................3......4

____________________333___444___ ....................3......4....

_________________33____444______ .................3......4.......

______________33____444_________ ..............3......4..........

___________33____444____________ ...........3......4.............

_______333____44________________ ........3......4................

___333____444___________________ ....3......4....................

_33____444______________________ .3......4.......................

____444_________________________ .....4..........................

_4444___________________________ ..4.............................

___________________________000__ ............................0...

________________________000_____ .........................0......

____________________000_________ ......................0.........

__4_______________00____________ ...................0............

______________000_______________ ................0...............

____________00______________1111 ............0................1..

_________00______________111____ .........0................1.....

_____00_______________11________ ......0................1........

__00_______________11__________4 ...0................1...........

0__0____________11__________4444 0................1............4.

_____________11_________44444___ .............1............4.....

__________11_________4444_______ ..........1............4........

_______1__________4444__________ .......1............4...........

___11___________4444____________ ....1............4..............

11__________44444_______________ .1............4.................

_________4444______________11111 ..........4....................1

______444_________________111111 .......4....................1...

___444_________________1111_____ ....4....................1......

44_44_______________111________4 .4....................1.........

_________________111___________4 ...................1............

______________111____________444 ...............1...............4

___________111____________44444_ ............1...............4...

________11_____________4444_____ .........1...............4......

_____11_____________4444________ ......1...............4.........

__11____________44444___________ ...1...............4............

_____________4444_______________ ...............4................

0__0____________________________ 0...............................

____________________________2222 .............................2..

_________________________2222___ ..........................2.....

______________________22222__400 .......................2.....40.

__________________2222___4400___ ...................2.....40.....

_______________2222___4000__333_ ................2.....40........

____________2222__4400__0_______ .............2.....40...........

_________2222__4400_____________ ..........2.....40..............

______222___4400______________33 .......2.....40.................

___22____4400________________333 ...2.....40.....................

22____4400______________________ 2.....40........................

___400__________________________ ...40...........................

______________________________22 ................................

_____________________________111 ...............................1

___________________________111__ ............................1...

_______________________111______ ........................1.......

____________________111_________ .....................1..........

_________________111_________444 ..................1...........4.

______________111_________4444__ ...............1...........4....

___________111________44444_____ ............1...........4.......

_______111_________4444_________ ........1...........4...........

____11__________4444____________ .....1...........4..............

__11_________4444_______________ ..1...........4.................

1_________4444__________________ ...........4....................

_______4444_____________________ ........4.......................

____4___________________________ ....4...........................

_4__4___________________________ .4..............................

________________________________ ................................

________________________________ ................................

__4_________________________00__ .............................0..

_________________________00_3333 ..........................0...3.

______________________00_3333___ .......................0...3....

___________________00_3333______ ....................0...3.......

________________00__33________33 ................0...3...........

_____________00__33________44444 .............0...3...........4..

__________0___33_________444____ ..........0...3...........4.....

_______0___3__________444_______ .......0...3...........4........

____0___33_________444__________ ....0...3...........4...........

0___33__________444_____________ 0...3...........4...............

333_________4444____________000_ .3...........4................0.

_________4444____________000____ ..........4................0....

______4444____________000_______ .......4................0.......

___444______________00__________ ....4................0..........

44_4____________000_____________ 4................0..............

_____________00_________________ ..............0.................

____4______0____________________ ...........0....................

44______0_______________________ ........0.......................

_0__00__________________________ .....0..........................

00__0___________________________ .0..............................

00___________________________111 .0............................1.

_________________________111____ ..........................1.....

